date,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_tests,new_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,hosp_patients,icu_patients,reproduction_rate,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence
2021-11-19,Asia,India,6423388,2490,107051,323,60016385,7386,0.9043768336609926,128.31340195761393,55863236,35276326,27381132,12571,19642,1.6329466856855384,69.25933110655878,1241418161,67.39470159733389,49.88375058694491,8.649394523016287,16.052063327170146,44313.19995459504,20.827286167258386,177.83265469819304,16.296474056764595
2021-09-12,North America,Russia,6550634,6980,481184,697,28666409,6862,0.5258496362638133,335.5450872479594,63799592,67830632,12527528,82753,2713,0.5388948749562397,7.18528734990973,114516392,694.4099289619212,30.12682341266469,8.957853835258,4.423022088583192,8196.945011075877,20.478579009867705,470.99141993629786,8.57917008771817
2020-04-20,Europe,Canada,4304572,9134,15116,325,80352550,40108,0.7915750963929912,478.95627544507397,68770121,68985000,41476316,48225,8595,0.9716045678717331,14.823246308495186,1152898402,784.4647293234743,22.64806311333646,9.33677830861303,18.77637154584994,52607.000057437814,11.92466378447884,415.88090793362096,14.989789148747885
2022-10-16,Asia,Germany,2234489,7661,20045,624,89212990,91788,0.11529125988360023,384.8184833957062,97546509,17081923,68932763,7227,13779,2.107027885099798,70.00750198695911,1342525124,403.46750798459993,42.95110895010883,5.3218942301444905,10.526519580237625,23297.98503691678,4.591400479247543,643.5104443885215,18.084095905880933
2021-05-15,Europe,USA,9958614,1724,419543,824,5364240,75023,0.927642705508595,302.00899828758907,31976637,52813396,488830,41189,12164,0.9849733861684373,28.97233412135247,744943966,182.86969150732247,26.414731336084824,19.32176069525091,15.88917285219424,56126.82889457472,5.431329631270065,451.8467896933486,5.9714086554358845
2022-02-24,North America,Germany,9524682,8182,35709,164,67769161,80140,0.8211420914972102,495.31405413292833,19174474,67878019,66479423,14207,1546,1.9605803943818947,21.043340127939945,306169513,38.530191389454856,35.98080078856117,12.992046845422712,5.133578133166321,42927.21400046139,29.95943491135813,436.81351731960456,5.587740847197446
2022-09-17,Europe,France,7204212,2767,305761,572,50107235,82963,0.2247641447753561,132.66333367134237,94541485,31644235,29921810,78208,2606,0.869268529859768,80.15261376293442,41073572,640.8731434922289,22.87404549801712,5.4534266376365785,18.750626141309652,22879.312806790782,19.84175258198827,603.6436848047113,7.853025172622177
2022-08-11,Europe,France,9628519,1137,453355,603,97474358,27201,0.8741822332939535,31.17074395472369,20951549,42834681,44249112,53406,19209,1.7127351163987172,94.6246864173697,133425735,276.30347256856066,38.57851582450372,12.400150889316805,3.57475010731663,25584.214262843896,45.122769395810906,568.011523107014,8.950388712359743
2020-01-26,Europe,Canada,4472471,4117,157977,797,6986481,68578,0.2634427593968093,16.06543305796554,47045186,3273438,6187941,41783,4206,1.7564227334010034,23.23806485383013,907512133,469.2506912500714,48.32022211709666,23.10736254230824,3.7163317324024554,51474.008506978884,23.18683552438372,794.2980650434201,3.1098430506750465
2020-05-02,Europe,Brazil,4523669,3420,457364,454,74336324,49966,0.2053398793390565,355.34393977939914,23487580,44909086,6698725,85587,3374,2.0039324513729633,31.71959562356853,862953579,392.49196644095554,41.681141378208736,15.224886339348895,3.927958263621398,38954.09274347885,25.17457878546742,346.36689052154736,5.394491158846591
